m,tau_V=0.1 C_aa',tau_V=0.1 stdv C_aa',tau_V=0.5 C_aa',tau_V=0.5 stdv C_aa',tau_V=1.0 C_aa',tau_V=1.0 stdv C_aa',tau_V=2.0 C_aa',tau_V=2.0 stdv C_aa',tau_V=5.0 C_aa',tau_V=5.0 stdv C_aa',tau_V=10.0 C_aa',tau_V=10.0 stdv C_aa',tau_V=20.0 C_aa',tau_V=20.0 stdv C_aa',tau_V=50.0 C_aa',tau_V=50.0 stdv C_aa',tau_V=100.0 C_aa',tau_V=100.0 stdv C_aa',tau_V=200.0 C_aa',tau_V=200.0 stdv C_aa',tau_V=500.0 C_aa',tau_V=500.0 stdv C_aa',tau_V=1000.0 C_aa',tau_V=1000.0 stdv C_aa'
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.1606001802419736,0.017534538393183804,0.20289448801895144,0.012691166058568572,0.21695245401619062,0.005628893960545626,0.17810787622356603,0.0021190562565011747,0.17482355906430497,0.0014549977523249248,0.18306112723170612,0.002157321209533823,0.19632010667487182,0.0014360282232908548,0.21460199657385556,0.0023870410587368174,0.22844596440704518,0.0022772482970686565,0.23942481352204414,0.001921635230838623,0.2497380821529896,0.0016583873693581132,0.25354124038169357,0.0014679732545873798
2.0,0.008083949238113378,0.014466364679869706,0.005575857308414704,0.010016125916105243,0.0026675541741297618,0.0036473207701840675,-0.018518965642066273,0.0017074637568755106,-0.02219885662014364,0.000680950307149097,-0.020321617757513177,0.0010694882412834643,-0.015297593166043112,0.0018126985060485845,-0.0064162695606238135,0.0018978477823206837,0.0028228963604191508,0.0018233691607971612,0.010016676573132455,0.002007156535532257,0.018000943041269972,0.001589671436751036,0.02093733453016456,0.0016494326019149835
3.0,-0.001277582761347881,0.0115923240027958,-0.0013082713866769133,0.005472310580707973,-0.0025263876735421072,0.002577876249957936,-0.012174073143404842,0.0008174755822176632,-0.015085022461431286,0.0010442665658069,-0.016828765609030554,0.0007429291124342167,-0.01736812907565888,0.0009836852901820166,-0.018731778074482865,0.001606723633412455,-0.016174904829403307,0.0012259808485757802,-0.014982370022644277,0.0015053991273141008,-0.011967589248960464,0.0016193148509628563,-0.011596214492708848,0.0014231856993707846
4.0,-0.00013205935996910817,0.010793374631971504,-0.00032108633414284945,0.005681824949771907,-0.0030933751906290336,0.0017385003671037316,-0.005362660348991684,0.0008572999081491111,-0.005934451988006545,0.0007789438251405324,-0.007022705363759994,0.0006412749464077636,-0.007298007555076555,0.0012988981938396793,-0.009569326128303867,0.0008961085203209108,-0.01075557202685375,0.0009593677837398261,-0.011599981920690096,0.0006283712346302126,-0.01134949855948581,0.0010600401358438181,-0.012608788565225154,0.0013621264646638722
5.0,-0.0010644998874625952,0.013285282524527608,0.0009362191688664439,0.004801627472009231,-0.0028841930159065193,0.0013753368053355027,-0.002767095167553097,0.0009757364783135415,-0.002125690941206732,0.000939716234893467,-0.002748601958004052,0.0011195470420314086,-0.0026363369790383486,0.0006834635367101853,-0.0032680547741123834,0.000996854779466386,-0.005022806045908896,0.0006441447679879192,-0.005639664086387351,0.0008756423822240693,-0.006505241247597919,0.0013415347695329614,-0.007686281002589708,0.0010690505093904222
6.0,-0.0007161533836798688,0.007560282686719922,0.00017669430528038127,0.003348427610692051,-0.0020411816716939504,0.0008237465424869994,-0.0017215443895643612,0.0008403176825751672,-0.0007233694795577801,0.0008141447507383581,-0.0008034060058159985,0.0007579640929753819,-0.001122960139739029,0.0005674955556066899,-0.0007941843865972662,0.0007431143920196557,-0.0018641124344576116,0.0010260010469104117,-0.002093527550010148,0.0011024208495885566,-0.002799014391321706,0.001119951206725599,-0.0034056555571504487,0.0011370852718204988
7.0,0.0025201362724434698,0.007821746118292266,-3.554404729815214e-5,0.0031600223669889234,-0.001832702180971156,0.0011242097281936334,-0.0009033195722657243,0.00032636025515733134,-0.00046654160317991807,0.00046041041979815107,-0.00023999079731941582,0.0007757957834854072,-0.0006320495400907929,0.0006557477600335951,-0.00019273092127449482,0.000529822412910999,-0.0007754931569159933,0.0005813341064919659,-0.000759861251571285,0.0009036637691034537,-0.000845890383772581,0.0011948743290352503,-0.0011516496342470078,0.0006667875903409539
8.0,-0.0017052415311964672,0.005963189614608191,0.00017417733533790016,0.0024382370371752297,-0.0017581145615767086,0.0010445035515044367,-0.0003898612497910608,0.00039062209603106984,-0.0004027324593329887,0.0006027325695503617,-0.0002662245293720368,0.0006433826431877889,-0.00021051604226134772,0.0004727916097420717,-0.00017167683558085887,0.0007085228071900436,-0.00019344340662487316,0.0007520027314906558,-1.528054905730323e-5,0.0005545465082980172,-0.00024058008866028056,0.0008520505300223752,-0.0003964759661977979,0.0008516872721169123
9.0,-0.0014677116338769442,0.0041209154366214145,0.0002728106776188833,0.0025555915504136615,-0.0013347554743555678,0.0008950362780717194,-0.00025186898088413936,0.0007108223571468678,-0.00025303002337832587,0.0003436969520444117,-0.000464734975359099,0.0006011767032835272,-0.000260329641883155,0.0007872071428410167,0.00016166809404546007,0.0007273937338393885,0.00022838826029081562,0.0007487813672806539,-0.0003853707857067212,0.0005074660892715494,-0.0001987036694815688,0.0002976732820807296,-0.0001405527330691759,0.0005774910041420237
10.0,-0.0010955140239469825,0.0058046547073157834,0.0006082642459990721,0.0023007150602725665,-0.0008433252365666743,0.0008338190824295031,-0.0003034136186704893,0.0005526415050819047,-0.00016515272025099844,0.0003265028468319903,-0.0001410861891290356,0.0005577376898205737,-0.00014371143449354515,0.0007190305111339063,0.00011934314460673799,0.0008182515757208451,0.0002078077154081583,0.0005482073418331841,-0.00016390115521054728,0.0007651729979023255,-9.13922413384817e-5,0.0005377593471716713,-0.0003371244637593712,0.0007030503828176503
11.0,-0.0009563216820043926,0.003605603567860499,0.0005509190514341603,0.0025287979219624163,-0.0006000389148688077,0.0008122045611332631,-0.00021426543687086717,0.00038703886045764733,4.567546928272086e-5,0.00043356533904674734,-0.000196943167497378,0.0006253620314427444,0.0003139545184942923,0.000451466978443958,0.00021677680993525362,0.0007749511491480271,6.808398928110732e-5,0.0008511533154932715,-2.823976856761161e-5,0.0009212422624631623,-5.282068012471318e-5,0.0007293773769247256,-0.0002951677203718211,0.0007266456129228857
12.0,-0.0018762506811241485,0.004107145606193857,0.0008523924554208542,0.002278268605967942,-0.0005603606137441904,0.0010457933937027325,-0.00011540247443659413,0.0005125326042880092,3.7252386171015496e-5,0.0003365186008504472,-8.705300134583811e-5,0.00036557825082241197,5.676723585363396e-5,0.0005460238759546593,0.00015121247268954285,0.0007118622581331383,-0.00013439941631087341,0.0008080526782719785,-0.0005553118593372363,0.0006505329745361652,-0.00015629106173324108,0.00039654627432076403,-0.00021186997876120726,0.0007520749101999513
13.0,-0.003992642195503188,0.0030604624498738247,0.0006021344125780658,0.002124745552437931,-0.0005811217273868224,0.0007434594934563,-1.9027156102182778e-5,0.00045070791894042186,-9.299527083890927e-5,0.0002801204015027988,-0.00015980564671322215,0.000315246051823236,-0.0001210952350625066,0.0004000433492177027,-9.289842858054848e-5,0.00031224369433806515,-0.0002657645552189495,0.0005221814095002185,-0.0005855493260470261,0.000479356694768136,-0.00010096492166894386,0.0006090793004116349,-0.000308408387783069,0.0005113160709737298
14.0,-0.0011898690638620507,0.0030167527241589482,-6.101810175119288e-5,0.0013288451293817156,-0.0007546397680603014,0.0006483299019345265,1.777476021683433e-5,0.0007015067893315277,-0.0005061417068357654,0.00034459709433463053,-0.00027926970578708265,0.0005722774535266419,-0.0003803372132402374,0.00036708921524113283,-0.0006083140733064876,0.0006248639701031295,-0.0005096497971963578,0.0006563176752605761,-0.0005911776407144834,0.0005547102340393965,-0.00033104393482397647,0.0005915861481791917,-0.0006944379126159645,0.00053025750279479
15.0,-0.0015954569606092092,0.004545213745310206,-0.0007194575330718688,0.0013009868135896213,-0.0006137020095555773,0.0007008747873786,-0.0003319089527483672,0.000445175682048151,-0.0003652621643031938,0.0005339908494562366,0.00013446450629562293,0.0006561329604317784,2.059672802050067e-5,0.0004949849759165276,-2.986190195241694e-5,0.0005164053026018938,-1.9810257996645398e-5,0.0005860745005622508,0.00012686953412881238,0.0007379262037560082,0.0006258443991282186,0.0006685023120180968,0.00015825278475213892,0.0008037655788051011
16.0,0.001194354202459038,0.004700829962535703,-0.0005559904125892642,0.0014140048977093105,-2.4785277196996877e-5,0.0007923904114022815,0.0006226439924131453,0.0006116032955803115,0.0007585888286899321,0.0006420562334957094,0.0011200304710027968,0.000652567930329415,0.0005371288378858088,0.0006380901784924364,0.000564919577990588,0.0006973908247979784,0.0008952327330546406,0.0007760096110005814,0.0009100679762548545,0.0008843466290605949,0.001012406604344591,0.0006865445309080276,0.0009509656829250967,0.0011052609286246197
17.0,0.0035776625814452193,0.0076272498270356865,-0.0006310178094480614,0.0027801977089240274,0.00017774661182901313,0.0008225922769763516,0.00043452172770699226,0.0006324901456494403,0.0003420107081521393,0.0009241305038937348,0.00032293821129344573,0.0005405786651027502,0.00030085454525164156,0.0006625658850683471,0.0003953926644575726,0.0008928224233988744,0.0007549267545423097,0.0007609278857457516,0.0009097586058214224,0.0008938832621428271,0.00019444663768416527,0.0007963547412320607,0.0007353068998496955,0.0010537180084262798
18.0,-0.0035708127000850048,0.009384547025425563,-0.0005572448353122752,0.0023810769662689,-0.00016582706640772086,0.0008624772174623793,0.00017433169497731401,0.0007784224684838407,0.00034321823815612216,0.0005610061108478983,1.4662155125626779e-5,0.0010883536219136042,2.4270785962663743e-5,0.0009361302651612924,0.0001356873195771227,0.0009370013435120244,0.0010715364087591846,0.001271257516254617,0.0009703490427273822,0.0010800069407816495,5.0593161755785004e-5,0.0013955176235897785,0.0006724689356310654,0.0010746157836523744
19.0,-8.834019320446175e-5,0.01080913428501826,-4.989998613042857e-5,0.0024547488908117513,-0.0001323243163434102,0.0011055403440570946,4.903890443656478e-6,0.0009306385224001656,0.0003364139742791159,0.0011679504845492077,-5.1711182052414105e-5,0.0010068224741773045,0.0005225261588746594,0.0015348598344010612,0.0006356056831366412,0.0017078459120544542,0.000981849078568172,0.0017959904758593056,0.00014191998292513422,0.001462007053519951,-0.00024396855957855204,0.0027322406571178813,-0.00014892492577715978,0.001765718172068801
20.0,-0.0011573964907201882,0.011122765604540303,0.0013445230631765896,0.004375777963365029,-0.0002619424910471039,0.0014589127115400267,0.00030041333229471185,0.0012729458563915115,-0.00044738663519401916,0.0012451543941071506,3.0061272922937125e-5,0.0012003955385070635,-0.0005652534983669558,0.0024431859681698395,-0.0024575740743725907,0.0026123640466137795,-0.0024260296880827025,0.0020022787066365064,-0.0017402157541304465,0.0028889944094431207,-0.002555630455888875,0.003196588774264862,-0.0005483907552053935,0.0023821767763685
