m,F_0=0.015 C_vu(m),F_0=0.015 stdv C_vu(m),F_0=0.03 C_vu(m),F_0=0.03 stdv C_vu(m),F_0=0.045 C_vu(m),F_0=0.045 stdv C_vu(m),F_0=0.06 C_vu(m),F_0=0.06 stdv C_vu(m),F_0=0.075 C_vu(m),F_0=0.075 stdv C_vu(m),F_0=0.105 C_vu(m),F_0=0.105 stdv C_vu(m),F_0=0.135 C_vu(m),F_0=0.135 stdv C_vu(m)
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,NaN,NaN,NaN,NaN
1.0,0.6277965678325492,0.012962815695534409,0.6275273547713687,0.019047469624081454,0.6241353546464077,0.013043480743688923,0.570072496115311,0.007141102870798211,0.521469415054995,0.008372000492358419,NaN,NaN,NaN,NaN
2.0,0.4465270950264945,0.019111752784217232,0.43945275421754343,0.0267504479676075,0.4089799752838651,0.019104761450308885,0.3285437726143297,0.009787943117707733,0.2687285397430703,0.012430079593971249,NaN,NaN,NaN,NaN
3.0,0.3451899065923813,0.02276596841880618,0.3305513775996637,0.02972462059495612,0.27100382598873585,0.021423697913728845,0.17951762296985882,0.01004232723778471,0.12706043721130983,0.015246027997061212,NaN,NaN,NaN,NaN
4.0,0.28030785335819275,0.025812742695733606,0.25949950511730263,0.03030960178853989,0.17654018281627953,0.021934198508592285,0.08873147291030978,0.008894914669555947,0.05320294448652596,0.017062841934845835,NaN,NaN,NaN,NaN
5.0,0.23484173570841219,0.02886119025033733,0.20874226769417384,0.02972170111840425,0.11217875638003727,0.021257506782753694,0.03844852154827486,0.007124191073198784,0.01953798178733658,0.017209660025045235,NaN,NaN,NaN,NaN
6.0,0.2011230803789367,0.03200200059930304,0.1704170788996994,0.028914740731133134,0.06996552662460312,0.019375793085122314,0.014159652491413943,0.006294971432695837,0.006885432976018343,0.015925771164470904,NaN,NaN,NaN,NaN
7.0,0.1755895064163492,0.0348530178943851,0.14078533780049285,0.028449590306265087,0.043477554826225256,0.017307243129667613,0.004548324996514251,0.007364853722439997,0.0033195184757596934,0.014156587635961107,NaN,NaN,NaN,NaN
8.0,0.15590370589901678,0.03710000784462102,0.11775290112690777,0.028221275198372343,0.028191170736187942,0.015989075408306526,0.0019182031627606206,0.008850200232961165,0.0029865768630592863,0.01283212934915019,NaN,NaN,NaN,NaN
9.0,0.14053428357366704,0.0388894936216592,0.10008043711998513,0.02859088342504597,0.019972717289271608,0.015799891930339018,0.0020269112623687567,0.009512805798501481,0.0037960131498855926,0.012140414121692282,NaN,NaN,NaN,NaN
10.0,0.128542652029553,0.04083473740024606,0.08661986463536687,0.029247639383635123,0.01627828390682661,0.01600174154801167,0.002741080362980883,0.009192622972589867,0.004541901182218591,0.011832906526448791,NaN,NaN,NaN,NaN
11.0,0.1191929522203522,0.042500717865578096,0.0769260325610674,0.029958301526220095,0.015351306724326256,0.016083294868368382,0.0034567077572587707,0.008431661786370784,0.004639046499325539,0.011643462228357479,NaN,NaN,NaN,NaN
12.0,0.11206109406782006,0.04390248639243514,0.07034497433421705,0.0308496569783052,0.0157673560657876,0.01563762600123698,0.004102995235383548,0.0077328686406710105,0.004541013251149423,0.01124468334561957,NaN,NaN,NaN,NaN
13.0,0.10650061085549463,0.04496854969115715,0.0658356783983353,0.0321388121266354,0.016994797220773076,0.01470978142523494,0.004874355085696564,0.007711422116539449,0.004463094844984642,0.01086992489535074,NaN,NaN,NaN,NaN
14.0,0.10235061201605673,0.045587457115655296,0.06343539300161422,0.03362961088848766,0.018676560265468614,0.013637530655894734,0.005762816627203728,0.008194648119498691,0.0047873036470989176,0.01045902811000682,NaN,NaN,NaN,NaN
15.0,0.09906353856594027,0.04558600025771953,0.062363762694069715,0.03611363521930312,0.020943497162843678,0.012547939096012201,0.0062616480948183475,0.007769284718002603,0.004784035714806368,0.010044742552078252,NaN,NaN,NaN,NaN
16.0,0.09436568591157504,0.04447147259565945,0.061254453036346114,0.03957798567769117,0.023790538992584924,0.013227387013564459,0.004795936117119983,0.0059179696292795975,0.004513897969301035,0.009269577400731711,NaN,NaN,NaN,NaN
17.0,0.08993525069556838,0.043574026012048045,0.06081150590283193,0.04265834410299066,0.0275361241367091,0.018486204029704877,0.002066127565792821,0.005275968796308222,0.004740398304140853,0.00895562981881137,NaN,NaN,NaN,NaN
18.0,0.08708860622500882,0.043478567997103854,0.060120188306716074,0.044345316554063416,0.030790120410705224,0.026700135191239854,-0.0008558618540850597,0.0070809041517944146,0.0053659646908857835,0.010467519382215679,NaN,NaN,NaN,NaN
19.0,0.08523804321299754,0.04339949589547013,0.059895338165092335,0.04539005306336028,0.0333826146227474,0.034464602656289665,-0.004064100397888927,0.010970382806719537,0.007245861779121823,0.012812568726938488,NaN,NaN,NaN,NaN
20.0,0.0842915602158653,0.04361010381097112,0.06009383909837094,0.04717517186347349,0.037052051836225355,0.039967241350659335,-0.005721153779098759,0.014641657348135249,0.01122345204282709,0.014901362962760952,NaN,NaN,NaN,NaN
