m,Delta T=0.05 C_vu(m),Delta T=0.05 stdv C_vu(m),Delta T=0.1 C_vu(m),Delta T=0.1 stdv C_vu(m),Delta T=0.15 C_vu(m),Delta T=0.15 stdv C_vu(m),Delta T=0.2 C_vu(m),Delta T=0.2 stdv C_vu(m),Delta T=0.225 C_vu(m),Delta T=0.225 stdv C_vu(m),Delta T=0.25 C_vu(m),Delta T=0.25 stdv C_vu(m),Delta T=0.3 C_vu(m),Delta T=0.3 stdv C_vu(m)
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.05074588026869019,0.0013212913617430355,0.052456836069214474,0.002711838505141157,0.06038505747078704,0.0022623863436991533,0.07755671588555028,0.002893600797723635,0.07859662641517201,0.0022195762298128064,0.07086982366709763,0.002013754546509045,0.005367244011394236,0.0023164033443473665
2.0,-0.011519932347265002,0.0005524703669173887,-0.0091284362912414,0.0013062179471496696,-0.005410052062401623,0.0016489292768407525,-0.0018484474593110894,0.001237182564328718,-0.004530461947301926,0.001233462992681709,-0.008500971885759961,0.0014286903783767937,-0.01829146138984559,0.0010854030176646906
3.0,-0.0051907223304484985,0.0008495758307557033,-0.004267166972647097,0.001299703293437382,-0.004066499531814361,0.0007792095000844608,-0.003705361682364898,0.0012157440200051273,-0.005604209718339317,0.0013022517452382855,-0.006774826638787763,0.001116680752134456,-0.006265709458094143,0.0006361528326676276
4.0,-0.003574288642509047,0.0005094181016434074,-0.0023937142742815843,0.0008262694034459816,-0.0029757124014533386,0.0009172392662575626,-0.0034497401297739387,0.00072989530668931,-0.00434503402066426,0.0009080268436295067,-0.004450152205459102,0.000868378718566227,-0.0029820579087869313,0.0006691647517171079
5.0,-0.002289361607110516,0.0003776128059891882,-0.002104117610603954,0.0003969063608742609,-0.002281195348245863,0.0006547808748067988,-0.0030365221861152645,0.0008336846034296553,-0.0031908683881623073,0.0011770105687302086,-0.0035054980711799943,0.0006658697028887955,-0.0017319867056416242,0.0005259842062712573
6.0,-0.0017174742472726892,0.0010041655731655918,-0.0016076075977771794,0.000940535291888528,-0.0018639948516235426,0.0007443930955157983,-0.002260769614035153,0.001154627686843528,-0.002294580283110875,0.0006571011904781552,-0.0025724142935866644,0.0007503674541134506,-0.0006382146488036458,0.00060447411284947
7.0,-0.0017914580563305343,0.0006441793438541133,-0.0013429009356963543,0.0005552373439130911,-0.0013275690784877831,0.0006608850253463607,-0.0018725552827965203,0.0006286654225824085,-0.0021541389901256034,0.0006437788185634552,-0.0017266601784657605,0.000524524949837026,-0.0005462347002383658,0.0003167657654864282
8.0,-0.001180534875735162,0.0004421625939237039,-0.0014263230970175734,0.0004414562261038377,-0.0010473905112073406,0.0006605717850708395,-0.001365921734600786,0.0006545019641645614,-0.0018796311501989653,0.00043082436210934474,-0.0012536368939363436,0.0003859679651548635,-0.00022008869988381012,0.0004950103702394714
9.0,-0.0007086164796293549,0.0004155726403127499,-0.001054783800163749,0.00042390319534837387,-0.0012424207259625153,0.0005664110069404611,-0.0013689630102613174,0.0005769362352023895,-0.0014625338292069746,0.0006063525639793549,-0.0009523560361942463,0.0006092351034495034,-0.0002255874124599426,0.00034424136385134604
10.0,-0.0008654002059354434,0.0006059015411806446,-0.0009174799604307927,0.0004207972322185215,-0.0010176448042628372,0.0008160011942460133,-0.001065346344455262,0.0005435123885369677,-0.0010783514394330795,0.0006117324336237814,-0.000652420260913354,0.0004927745771331768,-0.00032663983424064904,0.00047366467551938413
11.0,-0.0007854795864015976,0.0005853447756436536,-0.0007241021830148948,0.00026211518798972854,-0.0010299923663427686,0.0006456863694339596,-0.0010228786089368524,0.0006758912106870382,-0.0007269587321542821,0.0006162073935471617,-0.0005208285437828128,0.0006760446557167956,4.271829870170733e-6,0.00024709928832286653
12.0,-0.0008223659577953734,0.0004116865499094407,-0.0006996700397398373,0.0005168711369265359,-0.0007511955389898007,0.000638430502511449,-0.0007908878011255516,0.0005152472421974171,-0.0006277385819879908,0.0006141276990575826,-0.00046510568674882675,0.0005026846245454477,-5.667371360215486e-5,0.0004965890181515143
13.0,-0.0007806834662521787,0.00037329639465555597,-0.0006647907198187829,0.0003802434928506604,-0.000796548624725092,0.0003739441856216867,-0.001111470208671038,0.0005682712372776846,-0.0005274272413807989,0.0004499742215808706,-0.0005206763908022638,0.0004824961664918684,-0.00010279207703182618,0.00031447117238319103
14.0,-0.0006123600079981588,0.0003223741820366747,-0.0005352219788817745,0.0003661800374165798,-0.0007041722353438544,0.00036379236994639566,-0.000737544865298368,0.0003113047711197038,-0.0004281122613970595,0.0003912161834668453,-0.00037954542387689475,0.0006243707807460356,-5.60386644657244e-5,0.00022915279309837662
15.0,-0.00024345715209571445,0.00047166699174397403,-0.0007488322122000625,0.0005376299419475991,-0.0008302075634486469,0.0003940545125764862,-0.0005629199884302187,0.00040140343903049506,-0.0006053826564240263,0.0006662652963391962,-0.00030220149692807084,0.0004372171115959947,-0.0001817064730828773,0.0004969300136800272
